tweet_id,mean pos,mean neg,Tweet,scores,classes
72,2,2,I thought about saying underwhelming instead of disappointing but one must maintain standards even in the face of snowmageddon,1,neutral
73,3,1,DarrylTalley J9Talley hi there Nice to see you back,3,positive
74,1,1,Topic iRedAdminPro110 in forum  by ZhangHuangbin httptoly16Uv iredmail,1,neutral
75,1,1,Quick Tip How to Work with Fontface httpunu2iv35,1,neutral
76,3,1,RT katyperry I  New York,3,positive
77,2,2,RT ayse The top 10 novels in Modern Librarys readers picks list include four by Ayn Rand and three by L Ron Hubbard America you scare me,1,neutral
78,2,2,RT Alissajuknow PreciousBarbieQ you gotta make ur page private hun thatll cut them down a lot ,1,neutral
79,3,1,Aviemoron My coffin has already been reshaped as its going with me,3,positive
80,1,1,RT ErnieAtNing Selected OpenSocial Ning Apps are now available on github via Apache 20 license httpbitly97lwm8,1,neutral
81,4,1,I went to hot power yoga and I loved it MUCH better than Bikram to me Power Good Hot Good Sweat Good Whats not to love stinky,4,positive
82,1,2,nicko236 Lol well I considered posting something normal but since when have I been normal,0.5,negative
83,1,1,Google Traffic Pump Pro System How To Get Targeted Leads And Massive Traffic To Any Website In 15 Minutes Or Less httpbitlybGI1aO,1,neutral
84,1,1,RT WLKY Welcome httpscrblivme11767 We have 4 inches in New Albany and still coming down,1,neutral
85,1,4,It saddens my heart 2 C women with black eyes ,0.25,negative
86,1,1,aaaaaaah  e aparece a gpaaaiva no clipe B  replacemusic live on httptwitcamcomeo3d,1,neutral
87,1,3,I cant feel my feet that cant be good,0.333333333,negative
88,1,1,RT katsuhir0 RT tstw RT shimay Xperia30 httpbitly9i5kzy,1,neutral
89,3,1,officialerika i hope so dude hahaha 3 So which subject do you have right now xx,3,positive
90,1,2,Hes been ranting about this for years RT eugenelee finally blogged Business is Conducted by People not Users httpbitly9Dt24j,0.5,negative
91,2,2,Questions galore in my heart i try to sleep a little hurt a little lonelya little confuseda little in love a little smootha lil rough,1,neutral
92,2,1,RT Local76493 Happy Birthday to Carole King b1942 Carmen Miranda 1909,2,positive
93,1,1, RT lenno212 Keith Hernandez and Daniel Murphy already have begun working out together in Port St Lucie Mets,1,neutral
94,2,1,going to get jubbys valentines day gift with some assistance from lee and shane finally got my car registered work mondayfriday 124 ,2,positive
95,1,2,About to spend the next couple of hours of my life working for the man,0.5,negative
96,1,2,RT BRADPIFF877 I should of threw my self on the floor and screamed bro u would be gettin a fat check if u had done dat,0.5,negative
97,2,1,need to find a red all lace see thru dress like my black onefor my friend brian goins red  black birthday party this weekendHis GIFT,2,positive
98,2,1,jimalkhalili Well deserved Seems emblematic of a new BBC confidence unashamedly to produce docs that are pitched at more advanced level,2,positive
99,1,2,Nyamorabu yea thats y Im not supposed to use it they wanna attribute all the results to the mouthwash without chewing gum to help it,0.5,negative
100,1,1,RT remhq The Helping Haiti charity single for Everybody Hurts is available for download at httpbitlydihtlL,1,neutral
101,1,3,JesseSon How DARE YOU I am now your darklordwaffle PIMP now hoe work that corner pimp slaps,0.333333333,negative
102,2,2,Well on the bright side if the conservatives win the general elections the scots can stop leeching from the english purse,1,neutral
103,3,1,Learning about water heaters  ah the joys of home ownership  and still being single  ,3,positive
104,1,1,Personal Branding Is All About How You Execute The Brand  Jupdi Blogs Like many people possibly think personal  httpbitly93Lbkd,1,neutral
105,1,1,MizzChievouz httptwitpiccom11ww1v  makeupkase,1,neutral
106,2,1,2 cans of full fat coke and im bouncing round the place,2,positive
107,1,1,My Business is Free to Join and makes me 12000 a month httpfreewagews,1,neutral
108,1,1,RT ZachBehrens And so the rain begins here in Studio City httpmylocme3EJOB,1,neutral
109,2,2,Turns out I got the dates mixed up Match is tomorrow so off to bed peeps C ya all at 4 Gnite n sweet dreams,1,neutral
110,1,3,PORN Shit WONT be E Z my G Trust me i TRIED RT overtheFame I think I know what I am giving up for Lentit won http3ly3uC,0.333333333,negative
111,2,2,i wanna be the minority i dont need your authority down with the moral majority,1,neutral
112,5,1,im so super duper excitied right now cuz im gonna watch Harry Potter ,5,positive
113,4,1,planetjedward hey going to see you in dundrum on friday i was talking to ur mammy teacher today NO SCHOL because im going to youx,4,positive
114,1,1,every body check out yung purp on myspace  rodkush and yung purp muzik page hit single put me in ya research httpposthdA,1,neutral
115,1,1,Leadership and learning are indispensable to each other John F Kennedy,1,neutral
116,1,1,BlogNetNewsHR Bearing Drift Randy Forbes Name that salary cut Number of comments 1Congressman Randy Forbes  httpbitlya1dslk,1,neutral
117,3,1,RT kgarrard I lift my eyes up to You to You whose throne is in heaven Ps 1231 3  Love it And the maker of heaven  earth ,3,positive
118,1,1,YouTube  State of the Union  American IDLE httpbitlyb76iOz,1,neutral
119,2,1,How to Succeed in the Age of Going Solo A great article for everyone to read in the WSJ httptinyurlcomyzma3sn,2,positive
120,3,3,bnavarro1115 hahah YAYYY we miss you so much even moby xP haha ya we have to find joe bahah D,1,neutral
121,1,1,RT zdnetkorea   750 httptinyurlcomydvrwpw,1,neutral
122,3,1,bfrench4 what disneyworld commercial hes the saints qb and is sooo cute ,3,positive
123,1,3,Las year I was so stressed out I forgot I was my birthday Didnt figure it out til 730 that night My bad,0.333333333,negative
124,2,2,ah twitter oh ive missed updating you from my phone its all over now and dont worry back in action ,1,neutral
125,1,1,Free Guide Getting Your Law Firm Videos Found On YouTube httpbitly9cizJb,1,neutral
126,3,1,reevesforreal Devote yourself to prayer being watchful and thankful Very good verse  a great way 2 start a day Have a fun day in PC,3,positive
127,1,3,Just back from a walk with the doggies Got caught in a hail storm  hailstones really sting when theyre lashing down on your face,0.333333333,negative
128,3,1,to better understand me lol  RT whysogreen im going back to school doing a free 5 week automotive course ,3,positive
129,1,1,Auto Insert XMLFeed in Joomla EZRealty by chadutz Means we need an RSSfeedreader component that auto inserts  httpbitly9E6qxQ,1,neutral
130,3,1,yourcitylights And Simon Peter answered and said Thou art the Christ the Son of the living God Matthew 1616 Jesus Loves you,3,positive
131,1,2,Bored with waiting for the iPad to come out so Ive made my own out of a journos pad and some spray mount httpyfrogcom3lg87aj,0.5,negative
132,1,3,So I have come to the conclusions that theres bitches who dnt like me on here bt follow wtf I gotta say,0.333333333,negative
133,3,1,Rock onRT inrockmusic BillZucker I LOVE DaveMalby DOldMan GlassRiverJewel susancha burkepreston cont httptlgd7sh8m,3,positive
134,2,1,RT diskopo Who wants to laugh httpbitlyaBMOmR,2,positive
135,2,4,my clothes smell like weed vomit and chicken and i didnt smoke nor vomit and most unfortunately didnt eat chicken nice ,0.5,negative
136,1,2,It took 2 hours rummaging through my receipt drawer only to learn Id lost the receipt isnt there a better way httpowly14Xm2,0.5,negative
137,1,3,debontherocks Conferences have NEVER made me wish to have a child EVER What are you drinking  said cons,0.333333333,negative
138,2,1,I favorited a YouTube video  Zooey Deschanel in Weeds httpyoutubeFApZlnXG1Ua,2,positive
139,1,1,Sjoerd The tweep most like you is frankmeeuwsen Others are erikvisser and Markies Full list at httptweeplikemeprofileSjoerd,1,neutral
140,1,3,armaghetto ugh if i have too much of the gogo juice i get a bad stomach ache,0.333333333,negative
141,1,4,Urgh im soo bored and tired text call anything hmm i must find things to multi task on now,0.25,negative
142,2,1,Guayadeque  Nice music player  Ubuntu Geek Music Player with the aims to be intuitive easy to use and fast eve httpbitly9NLi0v,2,positive
143,3,2,Munchkin75 wahooooo The honess has been a bit too thin on the ground today x,1.5,negative
144,1,3,Headed to human resources class Now I know why Michael hates Toby so much,0.333333333,negative
145,1,1,mckra1g What do you call a fish with no eyes,1,neutral
146,1,1,listening All These Things That Ive Done  The Killers,1,neutral
147,1,1,RT AbilityAmerica Getting Access to Health Care for People with Physical Disabilities httpbitlyb3eiEJ,1,neutral
148,3,2,I love P2P but was worried about ISPs keeping my logs With YourPrivateVPN I dont have to worry anymore httpbitlyaemTcO,1.5,negative
149,1,1,Best of Personal Finance Roundup What You Need to Know About Social Security httpbitlycoTke5,1,neutral
150,1,1,The simonhuck starring of E of jonathancheban SPINdustry it creates special concerning the world of Im Exec PR Sunday February 21,1,neutral
151,3,1,Bab Girls Club was FunnY ass ShyT cant wait Til the reuion shw,3,positive
152,2,1,RT fallout Dont forget to watch the FalloutNewVegas teaser  RT for a chance to win a signed FNV poster httpbitlyfnvcon Must be 18,2,positive
153,1,3,my moms a retard for reading my texts and thinking my most recent tweet was inapproprate,0.333333333,negative
154,1,1,Playgirl print magazine cover to feature teenage dad of Sarah Palins grandson  The Canadian Press httpowly16xuGj,1,neutral
155,1,1,YungPHENOM,1,neutral
156,1,1,RT TwitterTips Inflated tweet count fix should be ready by tomorrow httpjmpaJsnVj,1,neutral
157,1,1,RT keefstuart Super Nanny takes on violent videogames The childcare expert conclusively proves that playing shooters makes kids httpbitlyabVAy4,1,neutral
158,2,2,RT demetriab i swearfolawd that betta be your navel and not your dick and i swearfolawd the pussy better be better than the headlmao,1,neutral
159,2,2,NGog had a difficult game playing against Vermalen and Gallas Still think he is better as an impact sub than a starter,1,neutral
160,1,1,Woodstoves MAde Easy at httpbitly4P90rP,1,neutral
161,1,2,RT BoomerLivingNow Retirement Dont Run Out of Money Before You Run Out of Time httpowly15RgI finances boomer retirement,0.5,negative
162,1,2,So I missed BGC again this wkcan some tell me wht happened,0.5,negative
163,1,2,Everyone says to give up on you but they dont see you like I do,0.5,negative
164,2,3,zanniewee yep sumtimes beatings or spankings ultimately lead the child 2 b more rebelliousnot me tho my momz hitz were effective lol,0.666666667,negative
165,1,3,After these shows Im callin it a early nite been up early and already gettin sleepy,0.333333333,negative
166,1,1,Gamepocalypse Ep1 records tonight  send us your questions and vote on what Sean will play next  httpsharesaLN9Q,1,neutral
167,1,1,Kurtsiegirl1827 Oh well the Stadium of Fire thing I was talking about is in Utah,1,neutral
168,2,1,pacificbrewnews No beer for me today either But I am enjoying the 2008 Odonata Grenache,2,positive
169,2,1,Free Star Bucks Gift Card httplistiacom1p8s,2,positive
170,1,1,Atlanta Nightclub VIP Tables and Bottle Service  My Favorite Sin httpisgd7v8ON,1,neutral
171,2,2,oO thefuck RT beasy Pull out bruh RT YNGELROYJETSON Firstlady22 lol Let me stop messin wit u before u get preg over twitter,1,neutral
172,2,2,Landed in MIN on time No turbulence delays or bickering so far Must find AC for puter to watch last Mons 24 or my trip will be ruined,1,neutral
173,2,2,sarahbear44 wait goodnight sweet dreams doesnt mean just friends And sorry bout the tide I didnt feel so well,1,neutral
174,3,1,RT KelseyGrammer So GOOGLE BUZZ is a hot topic Look at the OFFICAL GOOGLE Video  httpclickymeOfficialMI4 and you will LOVE it GO GOOGLE,3,positive
175,2,1,itsonlymichelle guess whats driving on the way to my house ,2,positive
176,2,1,and Verizon to reduce the fees they charge for their airtime and now if theyre successful wtheir high speed effort theyll create the,2,positive
177,2,1,ClassCie I got one more song to finish  then I will send it,2,positive
178,1,1,RT ganpy RT1eveningdrizzles This needs an awareness httpbetathehinducomscitechenergyandenvironmentarticle33320ece,1,neutral
179,1,2,RT Sorry ive been quiet on the tweetside im just really into Viewpointr right now httpviewpointrcom  its addictive,0.5,negative
180,1,2,just watched 10 minutes of house of payne cause I didnt want to get up and look for the remote,0.5,negative
181,2,1,Having English class now were doing profiles to ningcom not so different from my freetime D,2,positive
182,2,1,shreyaghoshal hey thats a good news what is the name of that film,2,positive
183,1,3,I just fell asleep at the most three and a half hours ago Why the bitch am I awake,0.333333333,negative
184,1,1,nowplaying Cyborg  PModel httpbitlyb0Eo5C in iPod app via twitbird,1,neutral
185,2,1,Thanks again to Ken for this RT KenPlume Now on FRED TheNoShow interview w James Cameron Emperor of Everything httpisgd83OtB,2,positive
186,1,1,httpbitlyWireUF ESPN names Gators OCAsst Head Coach Steve Addazio National NCAA Sports httpgooglfblhE4,1,neutral
187,1,1,3 AdilityDealcom Coupons Deals  Internet Coupons and Discounts As a high school student working at a local pizza pub in Jefferso,1,neutral
188,1,1,A Photo Editor  Ad Agency Guide To Photography Usage Terms As with photography when negotiating with talent the httpbitlycvfJQU,1,neutral
189,2,1,RT beedle82 I just entered the competition to win a Samsung laptop To enter follow smartaHQ  RT httpbitlyb4I200,2,positive
190,2,1,RT matisyahu Cool photo spread and interview in Wanted Magazine Photos httpbitlyd5YFxH Interview httpbitlybHAfUI,2,positive
191,1,1,css Modify web template by jamesallwood Hi I have a css static template from templatemonster that I need some m httpbitlycEShVG,1,neutral
192,2,1,Today in History 1971 Satchel Paige becomes 1st negroleague player elected to Baseball Hall of Fame via TouchByAM via AlyssaMilano,2,positive
193,1,1,PANTS ON THE GROUNDCAUSE YOU WASTED  SCOTTS3100 fountain view ON RICHMOND STRIPALLSTAR OFFICIALPARTY FOR THURSDAY,1,neutral
194,1,2,RT stillgtit If you cant lick or stick then I must tell you itaintthatgoodman so introduce me to your best friend,0.5,negative
195,2,2,Currently part of a Buzz whose sole purpose seems to be figuring out how to prevent Scoble from being a Buzz kill lol,1,neutral
196,2,3,Momodel180 pssshh yal bugging I never shovel snow a day in my life Lol,0.666666667,negative
197,4,1,Today has been INSANEly good So excited for my colleagues who have done so much great work deserving of natl recognition NPLAN PHLP,4,positive
198,1,4,WCooksey Im shocked nay appalled to hear that you are regularly communicating with your constituents And caught on tape ,0.25,negative
199,3,1,PHXPhoto thanks we hope you enjoy it and welcome your input on what youd like to see,3,positive
200,3,2,Whether you like me or not i would like to take this time out of my day and let yall know i love yall,1.5,negative
201,3,1,MsChassMarie lol tell him i got a bottle of graduates banana flava waitin for him lmao,3,positive
202,2,1,Society may tolerate you acquaintances may accept you but friends understand you quote,2,positive
203,2,1,It appears that you have everything under control and your pos More for Leo httptwittascopecomtwittascopesign5,2,positive
204,2,1,ElijahRead Oh okaySo thats how you doLOLCopy and Paste like thatLOL,2,positive
205,3,1,Home after Lucias and Key skills this morning had to attend due to a guest speaker talking about Uni  got me even more excited Eeee D,3,positive
206,2,2,i havent watched the newest episode of LOST yet but i do have 5555 miles on my car so there,1,neutral
207,3,2,RT OneAndOnlyZel To all my new  old friends I know Im behind on my THANKS 4 follows retweets FFs etc 4give the lapse I do love ya,1.5,negative
208,1,2,RT BenCooper86 Mervyn King says he cant think of any reason why the UK would lose its AAA rating  now will George Osborne shut up,0.5,negative
209,1,1,hey ive just made my twitter how do you talk to people on heree,1,neutral
210,2,1,ansaudi satria dong sa  Si dika mah geleh ah hahahah httpmylocme3GiEB,2,positive
211,1,1,Farmville Players Send 220 Million Valentines Day Virtual Gifts  Whenever I discuss virtual goods and the Fac httpbitlyaJAiwC,1,neutral
212,1,3,And obviously not forgetting the fact Im gonna feel 122356325x worse  Oh well,0.333333333,negative
213,2,1,formspringme  what would you like for valentines day yummy truffles stargazer lillies a donation to httptumblrcomxev6brjhk,2,positive
214,1,1,Bob Dylan  Lenny Bruce httpbitlybTENBS,1,neutral
215,1,1,Eh dia bos loh bdnny kok bau panas yhmsh pagi loh ini httpmylocme3FaqI,1,neutral
216,1,1,RT aceshowbiz Demi Lovato Writing New Song With Nick Jonas httpbitly9CIaUO,1,neutral
217,1,2,YoungMac24 thats the only game you have,0.5,negative
218,3,2,Even When Shit Get Hard  Im Going To  Make Sure That Im Around To Hold You  DOWN   Ill Never Leave Ya Side Until Tha Day I Die ,1.5,negative
219,2,1,httpi47tinypiccom2yo47qpjpg A would lol again,2,positive
220,1,1,to find actors of close age to get the books description just like when they got daniel radcliffe for harry potter CONTD,1,neutral
221,1,4,why do Hong Kong people like to have their air cons on SUPERCOLD man i need some socks or something,0.25,negative
222,2,1,RT parismostwanted Check out ParisMostWanted on ITS MY TIME and VOTE for us  httpcastingbenettoncomusers8081parismostwanted,2,positive
223,1,2,sononchalant what happened to snow at 6 pm httpmylocme3G5Mk,0.5,negative
224,3,2,Thank you god for rewarding me for my crazy day The guy at Subway gave me a free cookie but this is muuuuch better,1.5,negative
225,2,1,10 absolutely jaw dropping concept car designs httpowly15OnX,2,positive
226,1,2,i can feel that theres a growing pimple on my nose ,0.5,negative
227,3,1,Great sunny days with tetongravity in the beauty mountains of BCcrew was sending,3,positive
228,1,1,New blog post Can Someone Help My Bro And His Angels  Demons Obsession httpunfakeit0WJO,1,neutral
229,1,2,itsBreezeBaby whats that  you no me im at work  ,0.5,negative
230,3,1,Found some cool free twitter backgrounds  httpwwwonixbeecom check it out backgrounds twitter,3,positive
231,2,2,LMAO I am But I mean this snow is annoyin RT Nemeze CakeLoveK how can ur life suck u have me then ur boyfriendbtw u still with him,1,neutral
232,1,1,Self defense is a state of mind it involves every aspect of our lives our physical mental and emotional safety,1,neutral
233,1,2,XGlitrObsesdX for sme reason my eyes burn too idk,0.5,negative
234,4,1,Sama2 sayang   NengMeryl Great wednesday  thanks to padoeka chiemuw ImadhMadum et all to be the part of my superb day ,4,positive
235,1,3,RT tokyodymondHLE ii am leaveinq  n imma delete my twitter  n who wants my photoshop ill take it ,0.333333333,negative
236,2,1,I pray also that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you Eph118,2,positive
237,1,2,RT wandafay avoidanaudit6redflagsyoushouldKnow httpiciousi420ea,0.5,negative
238,1,2,fuelconsumption data indicates weak growth httpbitlybQL91T I First we had rail traffic data Now we have this and with MSM spin too,0.5,negative
239,1,1,RT SleekMakeUP Product Review  Foundation httpbitly9vzY4l,1,neutral
240,1,1,The Hollywood Reporter  Heat Vision  Comics  Movie NewsTim  Tim Robbins is joining the cast of Green Lant httpbitlycDRado,1,neutral
241,1,2,Pressure mounting at Sunderland Lorik Cana Sunderlands winless run extended to 12 games following 11  httpbitlydBAMHd telegraph,0.5,negative
242,1,1,mobileadsmarket SAMSUNG MOBILE PHONESTHERE IS ONE FOR EVERYONE South Korea during Samsung Gro httpbitlycyljCj mobile marketing,1,neutral
243,2,1,Makin birthday macaroons that I shall drizzle with caramel sauce Oh yeah I do shit up BIG,2,positive
244,1,1,one question who thinks this is the real nickjonas  httpwwwyoutubecomuserNickJonasBOUNCE,1,neutral
245,2,1,indu666 heh me too actually tho kannur i still kinda alive cause a close uncle lives there had been thr last week for theyyam m,2,positive
246,1,1,crazyblu1920 Yes according to the amt you have in your possession Its always been like that A Base head my sis told me,1,neutral
247,2,2,diefatdie at wok I just tell people I have eczema lol that I am itching my dry skin Probs just as bad lol,1,neutral
248,3,2,Ground is covered in snow outside but spring is in full bloom in atticas kitchen we are pouring beautiful hyacinth soy candles for the shop,1.5,negative
249,1,2,mrmoneyman i dont like bein stuck in the house id rather go to class,0.5,negative
250,1,1,RT indyworld Aerial photographs released of Twin Towers collapse httpbitly9fVshL,1,neutral
251,2,1,MizLadyLipz girl byeyuh kno notbgc jux came on and tha otha otha iznt gonna miss thatdo yuh watch it,2,positive
252,1,3,I am so pissed me and my boyfriend broke up today i broke up with him for the recorde,0.333333333,negative
253,1,1,RT bethannewatson RueLaLa Yes Exhibit A Olivia Benson in Law and Order SVU circa season 7  8,1,neutral
254,1,2,danicapatrick is CSI investigating brakes tampering or a little nitro in the engine Gd luck in Nationwide race nascar,0.5,negative
255,1,2,UPDATE  Dead nanaman ako nito doh Sorry Ate Mona  httpplurkcomp3q1mes,0.5,negative
256,1,3,jamesw650 omfg I cannot believe you just tweeted that Are you effn serious with me,0.333333333,negative
257,1,2,Ninjas got mills I just want a couple too So bad bout to cry me a 50 juice Chip216,0.5,negative
258,2,3,judybopp LOL ohh i think i lost someone today realized it wasnt meant to be and hurts,0.666666667,negative
259,2,1,RT nrodovsky RT kimjack61 lightxxx There are people on here just waiting to helpnever underestimate twitter warriors 4 Haiti,2,positive
260,2,2,DonnieWahlberg once again all the fun is overthere we miss you overseas ,1,neutral
261,1,3,you guys are so stupid seriously fighting over people you will NEVER get HAHA,0.333333333,negative
262,1,3,i dont understand i really dont this course feels wrong hospital radio isnt right and im not happy,0.333333333,negative
263,1,2,ArcelorMittal posts 168 billon loss for 2009 httpnxyinkemfi,0.5,negative
264,2,2,HaleyRaschel LMAO yes it was lol I wasnt gonna put that pic up lol,1,neutral
265,2,4,RT HeavyHand Where is the where is the where is the TOILET TISSUE FUCKits OK youve been blessed with 2 handspick 1,0.5,negative
266,1,3,craigjettech but I really not like the spring in Macau its too wet,0.333333333,negative
267,1,1,DesignerDepot How iPad Affects the Way we Design Websites httpbitlycpErGv httpbitlyavjrzf via YoTwits,1,neutral
268,2,1,fresh out the shower  currently watchinq the Steve Wilkos Show,2,positive
269,1,1,RT twitterdads echod EduardoCBraga Follow Tuesday darakurniawan RAPAPLUS AntonioTalent twitterdads cont httptlgd84kg3,1,neutral
270,2,2,Decidedly not a good day My bed never looked so welcoming,1,neutral
271,1,1,Jerry Reed  Blue Moon of Kentucky httpwwwyoutubecomwatchv5sG22qCZ2g8featurerecr22f3HM,1,neutral
272,1,3,CNN Darkeness in the shadows of DC Bethesda MD has no power for 4 dayssnow 30 inches unploughed is this the new America RT,0.333333333,negative
